rodada,day,early,normal,afternoon,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2,list_rivalry_3,publico
23,1,0,1,0,1.0,3.0,0.0,0.0,1,0,0,41666.0
26,1,0,1,0,0.0,1.0,1.0,1.0,0,1,0,37204.0
28,1,0,1,0,3.0,0.0,0.0,1.0,0,1,0,42171.0
30,0,1,0,0,0.0,3.0,3.0,0.0,0,1,0,21855.0
32,1,0,1,0,0.0,3.0,0.0,3.0,0,0,1,31984.0
34,1,0,1,0,1.0,3.0,0.0,3.0,0,0,1,28250.0
36,1,0,1,0,0.0,3.0,1.0,3.0,0,0,1,30753.0
37,1,0,0,1,1.0,0.0,3.0,1.0,0,0,1,20057.0
2,1,0,1,0,0.0,,,,0,0,1,28794.0
4,1,0,1,0,0.0,1.0,0.0,,1,0,0,25289.0
6,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,20156.0
8,1,0,1,0,3.0,3.0,0.0,0.0,1,0,0,36774.0
11,1,0,1,0,3.0,0.0,0.0,3.0,0,0,1,17986.0
13,1,0,1,0,3.0,0.0,3.0,0.0,1,0,0,29872.0
14,1,0,1,0,0.0,3.0,0.0,3.0,0,1,0,51055.0
16,1,0,1,0,3.0,3.0,0.0,3.0,0,1,0,61421.0
18,0,1,0,0,0.0,1.0,3.0,3.0,0,0,1,20881.0
20,1,0,1,0,0.0,3.0,0.0,1.0,0,1,0,42954.0
22,0,0,1,0,3.0,3.0,0.0,3.0,0,0,1,22825.0
24,0,0,1,0,3.0,3.0,3.0,3.0,0,1,0,43017.0
26,0,0,1,0,3.0,3.0,3.0,3.0,0,0,1,67011.0
28,1,0,1,0,0.0,0.0,3.0,3.0,1,0,0,40240.0
29,1,1,0,0,0.0,0.0,0.0,3.0,0,0,1,52462.0
31,1,0,1,0,0.0,3.0,0.0,0.0,0,1,0,24599.0
34,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,12634.0
36,1,0,1,0,1.0,3.0,0.0,0.0,0,0,1,12814.0
38,1,0,1,0,0.0,1.0,1.0,3.0,1,0,0,16070.0
1,1,0,1,0,,,,,0,0,1,7863.0
3,0,0,1,0,0.0,3.0,,,0,0,1,2705.0
5,0,0,1,0,3.0,1.0,0.0,3.0,0,0,1,6164.0
6,1,0,1,0,3.0,3.0,1.0,0.0,1,0,0,54655.0
9,1,0,1,0,3.0,0.0,0.0,3.0,0,1,0,27233.0
11,1,0,1,0,3.0,1.0,3.0,0.0,1,0,0,25941.0
12,0,1,0,0,0.0,3.0,1.0,3.0,0,1,0,21000.0
14,1,1,0,0,0.0,3.0,0.0,3.0,1,0,0,23390.0
16,0,1,0,0,1.0,3.0,0.0,3.0,0,0,1,16523.0
19,1,0,1,0,1.0,3.0,3.0,1.0,0,0,1,19036.0
21,1,1,0,0,0.0,3.0,1.0,3.0,0,1,0,22552.0
23,0,0,1,0,3.0,3.0,0.0,3.0,0,0,1,16358.0
26,1,1,0,0,1.0,3.0,3.0,3.0,0,0,1,29605.0
27,1,0,1,0,3.0,1.0,3.0,3.0,0,1,0,13780.0
29,1,0,1,0,1.0,3.0,3.0,1.0,0,0,1,21773.0
32,1,0,1,0,0.0,3.0,3.0,1.0,1,0,0,54250.0
34,1,0,1,0,1.0,1.0,0.0,3.0,1,0,0,49382.0
36,1,0,1,0,3.0,1.0,1.0,1.0,0,0,1,40802.0
37,1,0,1,0,1.0,3.0,1.0,1.0,0,1,0,37615.0
1,1,0,1,0,,,,,1,0,0,50220.0
4,1,1,0,0,1.0,3.0,1.0,,1,0,0,10577.0
7,0,0,1,0,1.0,0.0,1.0,1.0,0,0,1,13981.0
9,0,0,1,0,1.0,3.0,1.0,0.0,0,0,1,14632.0
11,1,0,1,0,3.0,3.0,1.0,3.0,0,1,0,17302.0
13,0,1,0,0,3.0,3.0,3.0,3.0,0,1,0,18204.0
15,0,0,1,0,1.0,0.0,3.0,3.0,1,0,0,15103.0
16,1,0,1,0,1.0,1.0,0.0,3.0,0,0,1,13014.0
19,1,1,0,0,0.0,1.0,3.0,1.0,0,0,1,18133.0
21,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,7082.0
22,1,0,1,0,3.0,0.0,0.0,0.0,0,0,1,10199.0
24,1,0,1,0,0.0,3.0,3.0,0.0,0,0,1,9029.0
25,1,0,1,0,3.0,0.0,3.0,3.0,0,0,1,9584.0
27,0,1,0,0,0.0,1.0,3.0,0.0,1,0,0,38629.0
29,0,0,1,0,3.0,1.0,0.0,1.0,0,0,1,8282.0
31,1,0,1,0,0.0,3.0,3.0,1.0,1,0,0,24800.0
33,0,0,1,0,0.0,1.0,0.0,3.0,0,1,0,7111.0
36,1,0,1,0,0.0,0.0,3.0,0.0,1,0,0,13491.0
37,1,0,1,0,3.0,0.0,0.0,3.0,0,1,0,15456.0
2,1,0,1,0,1.0,,,,0,0,1,52106.0
4,1,0,1,0,3.0,3.0,1.0,,0,1,0,60182.0
6,1,0,1,0,0.0,3.0,3.0,3.0,1,0,0,35208.0
8,0,1,0,0,3.0,1.0,0.0,3.0,0,0,1,55382.0
9,1,0,1,0,3.0,3.0,1.0,0.0,1,0,0,49222.0
11,1,0,1,0,3.0,3.0,3.0,3.0,0,0,1,59488.0
13,0,0,1,0,1.0,3.0,3.0,3.0,0,1,0,51777.0
14,1,0,1,0,0.0,1.0,3.0,3.0,1,0,0,42182.0
16,1,0,1,0,1.0,3.0,0.0,1.0,0,0,1,58000.0
18,1,0,1,0,0.0,3.0,1.0,3.0,0,1,0,55276.0
20,0,1,0,0,0.0,3.0,0.0,3.0,0,0,1,51878.0
22,1,1,0,0,1.0,3.0,0.0,3.0,0,0,1,61277.0
24,1,0,0,1,0.0,0.0,1.0,3.0,0,0,1,28983.0
26,1,0,1,0,1.0,3.0,0.0,0.0,1,0,0,39462.0
29,1,0,1,0,3.0,1.0,3.0,1.0,1,0,0,52924.0
31,1,0,1,0,3.0,3.0,3.0,1.0,1,0,0,65102.0
34,0,1,0,0,0.0,1.0,1.0,3.0,0,1,0,46067.0
36,0,0,1,0,3.0,3.0,0.0,1.0,0,1,0,36013.0
38,1,0,1,0,3.0,3.0,3.0,3.0,0,0,1,66046.0
1,1,0,0,1,,,,,0,1,0,29459.0
4,1,1,0,0,1.0,0.0,3.0,,0,0,1,61023.0
6,1,0,1,0,0.0,3.0,1.0,0.0,0,0,1,52667.0
7,1,0,1,0,3.0,0.0,3.0,1.0,0,0,1,37658.0
10,1,1,0,0,3.0,1.0,3.0,3.0,0,0,1,65154.0
12,1,1,0,0,1.0,3.0,3.0,1.0,1,0,0,45622.0
14,1,0,1,0,0.0,3.0,1.0,3.0,0,1,0,57644.0
17,1,0,1,0,3.0,3.0,3.0,0.0,1,0,0,65969.0
19,1,0,1,0,3.0,3.0,3.0,3.0,0,1,0,68243.0
21,0,0,1,0,3.0,3.0,3.0,3.0,0,1,0,64548.0
22,1,0,1,0,3.0,3.0,3.0,3.0,0,1,0,67051.0
24,0,1,0,0,3.0,1.0,3.0,3.0,1,0,0,63385.0
27,1,0,1,0,3.0,3.0,3.0,3.0,1,0,0,52279.0
28,1,0,1,0,3.0,3.0,3.0,3.0,0,0,1,69846.0
30,1,0,1,0,1.0,3.0,3.0,3.0,1,0,0,64985.0
32,1,0,1,0,3.0,3.0,1.0,3.0,0,0,1,65930.0
34,0,0,1,0,3.0,3.0,3.0,3.0,1,0,0,52757.0
35,0,0,1,0,1.0,3.0,3.0,3.0,0,0,1,67539.0
37,0,1,0,0,3.0,3.0,1.0,3.0,0,0,1,69090.0
