rodada,day,early,normal,afternoon,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2,list_rivalry_3,publico
6,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,
8,1,0,1,0,3.0,3.0,0.0,0.0,1,0,0,
11,1,0,1,0,3.0,0.0,0.0,3.0,0,0,1,
13,1,0,1,0,3.0,0.0,3.0,0.0,1,0,0,
14,1,0,1,0,0.0,3.0,0.0,3.0,0,1,0,
16,1,0,1,0,3.0,3.0,0.0,3.0,0,1,0,
18,0,1,0,0,0.0,1.0,3.0,3.0,0,0,1,
20,1,0,1,0,0.0,3.0,0.0,1.0,0,1,0,
22,0,0,1,0,3.0,3.0,0.0,3.0,0,0,1,
24,0,0,1,0,3.0,3.0,3.0,3.0,0,1,0,
26,0,0,1,0,3.0,3.0,3.0,3.0,0,0,1,
28,1,0,1,0,0.0,0.0,3.0,3.0,1,0,0,
29,1,1,0,0,0.0,0.0,0.0,3.0,0,0,1,
31,1,0,1,0,0.0,3.0,0.0,0.0,0,1,0,
34,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,
36,1,0,1,0,1.0,3.0,0.0,0.0,0,0,1,
38,1,0,1,0,0.0,1.0,1.0,3.0,1,0,0,
1,1,0,1,0,,,,,0,0,1,
3,0,0,1,0,0.0,3.0,,,0,0,1,
5,0,0,1,0,3.0,1.0,0.0,3.0,0,0,1,
6,1,0,1,0,3.0,3.0,1.0,0.0,1,0,0,
9,1,0,1,0,3.0,0.0,0.0,3.0,0,1,0,
11,1,0,1,0,3.0,1.0,3.0,0.0,1,0,0,
12,0,1,0,0,0.0,3.0,1.0,3.0,0,1,0,
14,1,1,0,0,0.0,3.0,0.0,3.0,1,0,0,
16,0,1,0,0,1.0,3.0,0.0,3.0,0,0,1,
19,1,0,1,0,1.0,3.0,3.0,1.0,0,0,1,
21,1,1,0,0,0.0,3.0,1.0,3.0,0,1,0,
23,0,0,1,0,3.0,3.0,0.0,3.0,0,0,1,
26,1,1,0,0,1.0,3.0,3.0,3.0,0,0,1,
27,1,0,1,0,3.0,1.0,3.0,3.0,0,1,0,
29,1,0,1,0,1.0,3.0,3.0,1.0,0,0,1,
32,1,0,1,0,0.0,3.0,3.0,1.0,1,0,0,
34,1,0,1,0,1.0,1.0,0.0,3.0,1,0,0,
36,1,0,1,0,3.0,1.0,1.0,1.0,0,0,1,
37,1,0,1,0,1.0,3.0,1.0,1.0,0,1,0,
1,1,0,1,0,,,,,1,0,0,
4,1,1,0,0,1.0,3.0,1.0,,1,0,0,
7,0,0,1,0,1.0,0.0,1.0,1.0,0,0,1,
9,0,0,1,0,1.0,3.0,1.0,0.0,0,0,1,
11,1,0,1,0,3.0,3.0,1.0,3.0,0,1,0,
13,0,1,0,0,3.0,3.0,3.0,3.0,0,1,0,
15,0,0,1,0,1.0,0.0,3.0,3.0,1,0,0,
16,1,0,1,0,1.0,1.0,0.0,3.0,0,0,1,
19,1,1,0,0,0.0,1.0,3.0,1.0,0,0,1,
21,1,0,1,0,0.0,0.0,0.0,1.0,0,0,1,
22,1,0,1,0,3.0,0.0,0.0,0.0,0,0,1,
24,1,0,1,0,0.0,3.0,3.0,0.0,0,0,1,
25,1,0,1,0,3.0,0.0,3.0,3.0,0,0,1,
27,0,1,0,0,0.0,1.0,3.0,0.0,1,0,0,
29,0,0,1,0,3.0,1.0,0.0,1.0,0,0,1,
31,1,0,1,0,0.0,3.0,3.0,1.0,1,0,0,
33,0,0,1,0,0.0,1.0,0.0,3.0,0,1,0,
36,1,0,1,0,0.0,0.0,3.0,0.0,1,0,0,
37,1,0,1,0,3.0,0.0,0.0,3.0,0,1,0,
2,1,0,1,0,1.0,,,,0,0,1,
4,1,0,1,0,3.0,3.0,1.0,,0,1,0,
6,1,0,1,0,0.0,3.0,3.0,3.0,1,0,0,
8,0,1,0,0,3.0,1.0,0.0,3.0,0,0,1,
9,1,0,1,0,3.0,3.0,1.0,0.0,1,0,0,
11,1,0,1,0,3.0,3.0,3.0,3.0,0,0,1,
13,0,0,1,0,1.0,3.0,3.0,3.0,0,1,0,
14,1,0,1,0,0.0,1.0,3.0,3.0,1,0,0,
16,1,0,1,0,1.0,3.0,0.0,1.0,0,0,1,
18,1,0,1,0,0.0,3.0,1.0,3.0,0,1,0,
20,0,1,0,0,0.0,3.0,0.0,3.0,0,0,1,
22,1,1,0,0,1.0,3.0,0.0,3.0,0,0,1,
24,1,0,0,1,0.0,0.0,1.0,3.0,0,0,1,
26,1,0,1,0,1.0,3.0,0.0,0.0,1,0,0,
29,1,0,1,0,3.0,1.0,3.0,1.0,1,0,0,
31,1,0,1,0,3.0,3.0,3.0,1.0,1,0,0,
34,0,1,0,0,0.0,1.0,1.0,3.0,0,1,0,
36,0,0,1,0,3.0,3.0,0.0,1.0,0,1,0,
38,1,0,1,0,3.0,3.0,3.0,3.0,0,0,1,
1,1,0,0,1,,,,,0,1,0,
4,1,1,0,0,1.0,0.0,3.0,,0,0,1,
6,1,0,1,0,0.0,3.0,1.0,0.0,0,0,1,
7,1,0,1,0,3.0,0.0,3.0,1.0,0,0,1,
10,1,1,0,0,3.0,1.0,3.0,3.0,0,0,1,
12,1,1,0,0,1.0,3.0,3.0,1.0,1,0,0,
14,1,0,1,0,0.0,3.0,1.0,3.0,0,1,0,
17,1,0,1,0,3.0,3.0,3.0,0.0,1,0,0,
19,1,0,1,0,3.0,3.0,3.0,3.0,0,1,0,
21,0,0,1,0,3.0,3.0,3.0,3.0,0,1,0,
22,1,0,1,0,3.0,3.0,3.0,3.0,0,1,0,
24,0,1,0,0,3.0,1.0,3.0,3.0,1,0,0,
27,1,0,1,0,3.0,3.0,3.0,3.0,1,0,0,
28,1,0,1,0,3.0,3.0,3.0,3.0,0,0,1,
30,1,0,1,0,1.0,3.0,3.0,3.0,1,0,0,
32,1,0,1,0,3.0,3.0,1.0,3.0,0,0,1,
34,0,0,1,0,3.0,3.0,3.0,3.0,1,0,0,
35,0,0,1,0,1.0,3.0,3.0,3.0,0,0,1,
37,0,1,0,0,3.0,3.0,1.0,3.0,0,0,1,
